vehicle_id,make,model,engine_type,battery_kwh,max_charge_kw,model_year
EV000048,Selva,Corta+,BEV,52,100,2026
EV000049,Marden,Ridge,BEV,82,175,2024
EV000050,Marden,Ridge XL,BEV,105,250,2020
EV000051,Vantor,Arc GT,BEV,91,220,2023
EV000052,Vantor,Arc PHV,PHEV,11,7,2025
EV000053,Aurex,Lumen PHV,PHEV,14,7,2023
EV000054,Marden,Ridge XL,BEV,105,250,2026
EV000055,Vantor,Arc GT,BEV,91,220,2025
EV000056,Selva,Corta,BEV,42,85,2024
EV000057,Aurex,Lumen LR,BEV,77,150,2025
EV000058,Marden,Ridge,BEV,82,175,2019
EV000059,Aurex,Lumen PHV,PHEV,14,7,2023
EV000060,Aurex,Lumen LR,BEV,77,150,2020
EV000061,Marden,Ridge,BEV,82,175,2026
EV000062,Marden,Ridge,BEV,82,175,2019
EV000063,Aurex,Lumen,BEV,58,120,2023
EV000064,Vantor,Arc PHV,PHEV,11,7,2021
EV000065,Selva,Corta,BEV,42,85,2020
EV000066,Vantor,Arc,BEV,64,135,2025
EV000067,Aurex,Lumen,BEV,58,120,2025
EV000068,Marden,Ridge XL,BEV,105,250,2020
EV000069,Vantor,Arc GT,BEV,91,220,2019
EV000070,Selva,Corta,BEV,42,85,2022
EV000071,Aurex,Lumen LR,BEV,77,150,2019
EV000072,Selva,Corta+,BEV,52,100,2019
EV000073,Vantor,Arc GT,BEV,91,220,2022
EV000074,Marden,Ridge XL,BEV,105,250,2024
EV000075,Marden,Ridge,BEV,82,175,2020
EV000076,Marden,Ridge,BEV,82,175,2019
EV000077,Vantor,Arc,BEV,64,135,2026
EV000078,Aurex,Lumen,BEV,58,120,2025
EV000079,Aurex,Lumen PHV,PHEV,14,7,2022
EV000080,Selva,Corta PHV,PHEV,9,4,2023
EV000081,Selva,Corta+,BEV,52,100,2021
EV000082,Vantor,Arc PHV,PHEV,11,7,2020
EV000083,Marden,Ridge,BEV,82,175,2020
EV000084,Selva,Corta+,BEV,52,100,2024
EV000085,Vantor,Arc GT,BEV,91,220,2026
EV000086,Vantor,Arc GT,BEV,91,220,2021
EV000087,Selva,Corta,BEV,42,85,2020
EV000088,Vantor,Arc,BEV,64,135,2023
EV000089,Vantor,Arc GT,BEV,91,220,2019
EV000090,Selva,Corta,BEV,42,85,2023
EV000091,Aurex,Lumen,BEV,58,120,2024
EV000092,Vantor,Arc GT,BEV,91,220,2021
EV000093,Vantor,Arc,BEV,64,135,2021
EV000094,Selva,Corta+,BEV,52,100,2022
EV000095,Marden,Ridge XL,BEV,105,250,2024
EV000096,Selva,Corta+,BEV,52,100,2025
EV000097,Marden,Ridge,BEV,82,175,2024
EV000098,Selva,Corta+,BEV,52,100,2025
EV000099,Vantor,Arc,BEV,64,135,2022
EV000100,Vantor,Arc GT,BEV,91,220,2025
EV000101,Marden,Ridge XL,BEV,105,250,2021
EV000102,Selva,Corta PHV,PHEV,9,4,2023
EV000103,Aurex,Lumen LR,BEV,77,150,2022
EV000104,Aurex,Lumen,BEV,58,120,2025
EV000105,Selva,Corta PHV,PHEV,9,4,2022
EV000106,Marden,Ridge XL,BEV,105,250,2020
EV000107,Selva,Corta+,BEV,52,100,2025
EV000108,Marden,Ridge XL,BEV,105,250,2026
EV000109,Selva,Corta+,BEV,52,100,2024
EV000110,Vantor,Arc PHV,PHEV,11,7,2019
EV000111,Vantor,Arc,BEV,64,135,2022
EV000112,Selva,Corta,BEV,42,85,2026
EV000113,Marden,Ridge,BEV,82,175,2019
EV000114,Aurex,Lumen LR,BEV,77,150,2025
EV000115,Marden,Ridge,BEV,82,175,2021
EV000116,Vantor,Arc,BEV,64,135,2022
EV000117,Marden,Ridge,BEV,82,175,2024
EV000118,Marden,Ridge XL,BEV,105,250,2025
EV000119,Vantor,Arc GT,BEV,91,220,2024
EV000120,Marden,Ridge PHV,PHEV,18,7,2026
EV000121,Selva,Corta+,BEV,52,100,2020
EV000122,Marden,Ridge,BEV,82,175,2020
EV000123,Aurex,Lumen,BEV,58,120,2022
EV000124,Aurex,Lumen LR,BEV,77,150,2024
EV000125,Marden,Ridge,BEV,82,175,2022
EV000126,Selva,Corta PHV,PHEV,9,4,2019
EV000127,Selva,Corta+,BEV,52,100,2022
EV000128,Vantor,Arc PHV,PHEV,11,7,2024
EV000129,Aurex,Lumen,BEV,58,120,2023
EV000130,Aurex,Lumen PHV,PHEV,14,7,2019
EV000131,Aurex,Lumen PHV,PHEV,14,7,2025
EV000132,Selva,Corta+,BEV,52,100,2024
EV000133,Vantor,Arc GT,BEV,91,220,2022
EV000134,Marden,Ridge,BEV,82,175,2019
EV000135,Vantor,Arc,BEV,64,135,2024
EV000136,Marden,Ridge,BEV,82,175,2022
EV000137,Marden,Ridge,BEV,82,175,2025
EV000138,Selva,Corta,BEV,42,85,2025
EV000139,Vantor,Arc,BEV,64,135,2024
EV000140,Aurex,Lumen,BEV,58,120,2021
EV000141,Aurex,Lumen LR,BEV,77,150,2019
EV000142,Marden,Ridge XL,BEV,105,250,2026
EV000143,Aurex,Lumen LR,BEV,77,150,2019
EV000144,Aurex,Lumen,BEV,58,120,2022
EV000145,Vantor,Arc,BEV,64,135,2021
EV000146,Selva,Corta,BEV,42,85,2020
EV000147,Selva,Corta+,BEV,52,100,2022
EV000148,Aurex,Lumen PHV,PHEV,14,7,2026
EV000149,Marden,Ridge XL,BEV,105,250,2021
EV000150,Marden,Ridge PHV,PHEV,18,7,2020
EV000151,Aurex,Lumen PHV,PHEV,14,7,2021
EV000152,Selva,Corta,BEV,42,85,2023
EV000153,Aurex,Lumen LR,BEV,77,150,2020
EV000154,Selva,Corta PHV,PHEV,9,4,2026
EV000155,Vantor,Arc,BEV,64,135,2020
EV000156,Selva,Corta+,BEV,52,100,2026
EV000157,Vantor,Arc,BEV,64,135,2022
EV000158,Marden,Ridge XL,BEV,105,250,2023
EV000159,Aurex,Lumen LR,BEV,77,150,2021
EV000160,Vantor,Arc GT,BEV,91,220,2020
EV000161,Vantor,Arc,BEV,64,135,2021
EV000162,Marden,Ridge XL,BEV,105,250,2023
EV000163,Selva,Corta+,BEV,52,100,2024
EV000164,Selva,Corta+,BEV,52,100,2021
EV000165,Vantor,Arc,BEV,64,135,2019
EV000166,Aurex,Lumen LR,BEV,77,150,2021
EV000167,Marden,Ridge XL,BEV,105,250,2026
EV000168,Marden,Ridge XL,BEV,105,250,2021
EV000169,Marden,Ridge,BEV,82,175,2025
EV000170,Marden,Ridge PHV,PHEV,18,7,2020
EV000171,Selva,Corta+,BEV,52,100,2020
EV000172,Aurex,Lumen LR,BEV,77,150,2019
EV000173,Selva,Corta+,BEV,52,100,2023
EV000174,Vantor,Arc,BEV,64,135,2025
EV000175,Selva,Corta,BEV,42,85,2022
EV000176,Selva,Corta,BEV,42,85,2019
EV000177,Selva,Corta+,BEV,52,100,2026
EV000178,Vantor,Arc PHV,PHEV,11,7,2023
EV000179,Marden,Ridge XL,BEV,105,250,2025
EV000180,Vantor,Arc GT,BEV,91,220,2021
EV000181,Marden,Ridge XL,BEV,105,250,2020
EV000182,Marden,Ridge XL,BEV,105,250,2024
EV000183,Marden,Ridge XL,BEV,105,250,2026
EV000184,Selva,Corta+,BEV,52,100,2023
EV000185,Aurex,Lumen PHV,PHEV,14,7,2022
EV000186,Selva,Corta,BEV,42,85,2022
EV000187,Aurex,Lumen,BEV,58,120,2020
EV000188,Vantor,Arc,BEV,64,135,2025
EV000189,Marden,Ridge,BEV,82,175,2023
EV000190,Vantor,Arc GT,BEV,91,220,2023
EV000191,Vantor,Arc GT,BEV,91,220,2019
EV000192,Vantor,Arc GT,BEV,91,220,2026
EV000193,Aurex,Lumen LR,BEV,77,150,2022
EV000194,Aurex,Lumen,BEV,58,120,2023
EV000195,Aurex,Lumen,BEV,58,120,2024
EV000196,Marden,Ridge,BEV,82,175,2026
EV000197,Vantor,Arc,BEV,64,135,2026
EV000198,Selva,Corta,BEV,42,85,2025
EV000199,Selva,Corta PHV,PHEV,9,4,2023
