vehicle_id,make,model,engine_type,battery_kwh,max_charge_kw,model_year
EV000048,Selva,Corta+,BEV,52,100,2026
EV000049,Marden,Ridge,BEV,82,175,2024
EV000050,Marden,Ridge XL,BEV,105,250,2020
EV000051,Vantor,Arc GT,BEV,91,220,2023
EV000052,Vantor,Arc PHV,PHEV,11,7,2025
EV000053,Aurex,Lumen PHV,PHEV,14,7,2023
EV000054,Marden,Ridge XL,BEV,105,250,2026
EV000055,Vantor,Arc GT,BEV,91,220,2025
EV000056,Selva,Corta,BEV,42,85,2024
EV000057,Aurex,Lumen LR,BEV,77,150,2025
EV000058,Marden,Ridge,BEV,82,175,2019
EV000059,Aurex,Lumen PHV,PHEV,14,7,2023
EV000060,Aurex,Lumen LR,BEV,77,150,2020
EV000061,Marden,Ridge,BEV,82,175,2026
EV000062,Marden,Ridge,BEV,82,175,2019
EV000063,Aurex,Lumen,BEV,58,120,2023
EV000064,Vantor,Arc PHV,PHEV,11,7,2021
EV000065,Selva,Corta,BEV,42,85,2020
EV000066,Vantor,Arc,BEV,64,135,2025
EV000067,Aurex,Lumen,BEV,58,120,2025
EV000068,Marden,Ridge XL,BEV,105,250,2020
EV000069,Vantor,Arc GT,BEV,91,220,2019
EV000070,Selva,Corta,BEV,42,85,2022
EV000071,Aurex,Lumen LR,BEV,77,150,2019
EV000072,Selva,Corta+,BEV,52,100,2019
EV000073,Vantor,Arc GT,BEV,91,220,2022
EV000074,Marden,Ridge XL,BEV,105,250,2024
EV000075,Marden,Ridge,BEV,82,175,2020
EV000076,Marden,Ridge,BEV,82,175,2019
EV000077,Vantor,Arc,BEV,64,135,2026
EV000078,Aurex,Lumen,BEV,58,120,2025
EV000079,Aurex,Lumen PHV,PHEV,14,7,2022
EV000080,Selva,Corta PHV,PHEV,9,4,2023
EV000081,Selva,Corta+,BEV,52,100,2021
EV000082,Vantor,Arc PHV,PHEV,11,7,2020
EV000083,Marden,Ridge,BEV,82,175,2020
EV000084,Selva,Corta+,BEV,52,100,2024
EV000085,Vantor,Arc GT,BEV,91,220,2026
EV000086,Vantor,Arc GT,BEV,91,220,2021
EV000087,Selva,Corta,BEV,42,85,2020
EV000088,Vantor,Arc,BEV,64,135,2023
EV000089,Vantor,Arc GT,BEV,91,220,2019
EV000090,Selva,Corta,BEV,42,85,2023
EV000091,Aurex,Lumen,BEV,58,120,2024
EV000092,Vantor,Arc GT,BEV,91,220,2021
EV000093,Vantor,Arc,BEV,64,135,2021
EV000094,Selva,Corta+,BEV,52,100,2022
EV000095,Marden,Ridge XL,BEV,105,250,2024
EV000096,Selva,Corta+,BEV,52,100,2025
EV000097,Marden,Ridge,BEV,82,175,2024
EV000098,Selva,Corta+,BEV,52,100,2025
EV000099,Vantor,Arc,BEV,64,135,2022
EV000100,Vantor,Arc GT,BEV,91,220,2025
EV000101,Marden,Ridge XL,BEV,105,250,2021
EV000102,Selva,Corta PHV,PHEV,9,4,2023
EV000103,Aurex,Lumen LR,BEV,77,150,2022
EV000104,Aurex,Lumen,BEV,58,120,2025
EV000105,Selva,Corta PHV,PHEV,9,4,2022
EV000106,Marden,Ridge XL,BEV,105,250,2020
EV000107,Selva,Corta+,BEV,52,100,2025
EV000108,Marden,Ridge XL,BEV,105,250,2026
EV000109,Selva,Corta+,BEV,52,100,2024
EV000110,Vantor,Arc PHV,PHEV,11,7,2019
EV000111,Vantor,Arc,BEV,64,135,2022
EV000112,Selva,Corta,BEV,42,85,2026
EV000113,Marden,Ridge,BEV,82,175,2019
EV000114,Aurex,Lumen LR,BEV,77,150,2025
EV000115,Marden,Ridge,BEV,82,175,2021
EV000116,Vantor,Arc,BEV,64,135,2022
EV000117,Marden,Ridge,BEV,82,175,2024
EV000118,Marden,Ridge XL,BEV,105,250,2025
EV000119,Vantor,Arc GT,BEV,91,220,2024
EV000120,Marden,Ridge PHV,PHEV,18,7,2026
EV000121,Selva,Corta+,BEV,52,100,2020
EV000122,Marden,Ridge,BEV,82,175,2020
EV000123,Aurex,Lumen,BEV,58,120,2022
EV000124,Aurex,Lumen LR,BEV,77,150,2024
EV000125,Marden,Ridge,BEV,82,175,2022
EV000126,Selva,Corta PHV,PHEV,9,4,2019
EV000127,Selva,Corta+,BEV,52,100,2022
EV000128,Vantor,Arc PHV,PHEV,11,7,2024
EV000129,Aurex,Lumen,BEV,58,120,2023
EV000130,Aurex,Lumen PHV,PHEV,14,7,2019
EV000131,Aurex,Lumen PHV,PHEV,14,7,2025
EV000132,Selva,Corta+,BEV,52,100,2024
EV000133,Vantor,Arc GT,BEV,91,220,2022
EV000134,Marden,Ridge,BEV,82,175,2019
EV000135,Vantor,Arc,BEV,64,135,2024
EV000136,Marden,Ridge,BEV,82,175,2022
EV000137,Marden,Ridge,BEV,82,175,2025
EV000138,Selva,Corta,BEV,42,85,2025
EV000139,Vantor,Arc,BEV,64,135,2024
EV000140,Aurex,Lumen,BEV,58,120,2021
EV000141,Aurex,Lumen LR,BEV,77,150,2019
EV000142,Marden,Ridge XL,BEV,105,250,2026
EV000143,Aurex,Lumen LR,BEV,77,150,2019
EV000144,Aurex,Lumen,BEV,58,120,2022
EV000145,Vantor,Arc,BEV,64,135,2021
EV000146,Selva,Corta,BEV,42,85,2020
EV000147,Selva,Corta+,BEV,52,100,2022
EV000148,Aurex,Lumen PHV,PHEV,14,7,2026
EV000149,Marden,Ridge XL,BEV,105,250,2021
EV000150,Marden,Ridge PHV,PHEV,18,7,2020
EV000151,Aurex,Lumen PHV,PHEV,14,7,2021
EV000152,Selva,Corta,BEV,42,85,2023
EV000153,Aurex,Lumen LR,BEV,77,150,2020
EV000154,Selva,Corta PHV,PHEV,9,4,2026
EV000155,Vantor,Arc,BEV,64,135,2020
EV000156,Selva,Corta+,BEV,52,100,2026
EV000157,Vantor,Arc,BEV,64,135,2022
EV000158,Marden,Ridge XL,BEV,105,250,2023
EV000159,Aurex,Lumen LR,BEV,77,150,2021
EV000160,Vantor,Arc GT,BEV,91,220,2020
EV000161,Vantor,Arc,BEV,64,135,2021
EV000162,Marden,Ridge XL,BEV,105,250,2023
EV000163,Selva,Corta+,BEV,52,100,2024
EV000164,Selva,Corta+,BEV,52,100,2021
EV000165,Vantor,Arc,BEV,64,135,2019
EV000166,Aurex,Lumen LR,BEV,77,150,2021
EV000167,Marden,Ridge XL,BEV,105,250,2026
EV000168,Marden,Ridge XL,BEV,105,250,2021
EV000169,Marden,Ridge,BEV,82,175,2025
EV000170,Marden,Ridge PHV,PHEV,18,7,2020
EV000171,Selva,Corta+,BEV,52,100,2020
EV000172,Aurex,Lumen LR,BEV,77,150,2019
EV000173,Selva,Corta+,BEV,52,100,2023
EV000174,Vantor,Arc,BEV,64,135,2025
EV000175,Selva,Corta,BEV,42,85,2022
EV000176,Selva,Corta,BEV,42,85,2019
EV000177,Selva,Corta+,BEV,52,100,2026
EV000178,Vantor,Arc PHV,PHEV,11,7,2023
EV000179,Marden,Ridge XL,BEV,105,250,2025
EV000180,Vantor,Arc GT,BEV,91,220,2021
EV000181,Marden,Ridge XL,BEV,105,250,2020
EV000182,Marden,Ridge XL,BEV,105,250,2024
EV000183,Marden,Ridge XL,BEV,105,250,2026
EV000184,Selva,Corta+,BEV,52,100,2023
EV000185,Aurex,Lumen PHV,PHEV,14,7,2022
EV000186,Selva,Corta,BEV,42,85,2022
EV000187,Aurex,Lumen,BEV,58,120,2020
EV000188,Vantor,Arc,BEV,64,135,2025
EV000189,Marden,Ridge,BEV,82,175,2023
EV000190,Vantor,Arc GT,BEV,91,220,2023
EV000191,Vantor,Arc GT,BEV,91,220,2019
EV000192,Vantor,Arc GT,BEV,91,220,2026
EV000193,Aurex,Lumen LR,BEV,77,150,2022
EV000194,Aurex,Lumen,BEV,58,120,2023
EV000195,Aurex,Lumen,BEV,58,120,2024
EV000196,Marden,Ridge,BEV,82,175,2026
EV000197,Vantor,Arc,BEV,64,135,2026
EV000198,Selva,Corta,BEV,42,85,2025
EV000199,Selva,Corta PHV,PHEV,9,4,2023
EV000200,Selva,Corta+,BEV,52,100,2024
EV000201,Marden,Ridge XL,BEV,105,250,2024
EV000202,Marden,Ridge XL,BEV,105,250,2021
EV000203,Selva,Corta PHV,PHEV,9,4,2026
EV000204,Aurex,Lumen,BEV,58,120,2022
EV000205,Vantor,Arc GT,BEV,91,220,2026
EV000206,Selva,Corta PHV,PHEV,9,4,2019
EV000207,Selva,Corta,BEV,42,85,2021
EV000208,Selva,Corta PHV,PHEV,9,4,2024
EV000209,Aurex,Lumen LR,BEV,77,150,2024
EV000210,Aurex,Lumen,BEV,58,120,2024
EV000211,Aurex,Lumen PHV,PHEV,14,7,2021
EV000212,Vantor,Arc GT,BEV,91,220,2025
EV000213,Selva,Corta,BEV,42,85,2019
EV000214,Selva,Corta PHV,PHEV,9,4,2019
EV000215,Vantor,Arc,BEV,64,135,2025
EV000216,Marden,Ridge PHV,PHEV,18,7,2020
EV000217,Vantor,Arc GT,BEV,91,220,2026
EV000218,Vantor,Arc,BEV,64,135,2024
EV000219,Vantor,Arc,BEV,64,135,2020
EV000220,Selva,Corta,BEV,42,85,2024
EV000221,Selva,Corta,BEV,42,85,2023
EV000222,Aurex,Lumen PHV,PHEV,14,7,2019
EV000223,Aurex,Lumen,BEV,58,120,2021
EV000224,Aurex,Lumen,BEV,58,120,2019
EV000225,Aurex,Lumen LR,BEV,77,150,2019
EV000226,Selva,Corta+,BEV,52,100,2021
EV000227,Marden,Ridge XL,BEV,105,250,2020
EV000228,Selva,Corta,BEV,42,85,2021
EV000229,Selva,Corta+,BEV,52,100,2021
EV000230,Selva,Corta+,BEV,52,100,2019
EV000231,Aurex,Lumen,BEV,58,120,2025
EV000232,Vantor,Arc,BEV,64,135,2019
EV000233,Marden,Ridge PHV,PHEV,18,7,2023
EV000234,Vantor,Arc GT,BEV,91,220,2020
EV000235,Selva,Corta PHV,PHEV,9,4,2023
EV000236,Selva,Corta,BEV,42,85,2019
EV000237,Vantor,Arc,BEV,64,135,2024
EV000238,Aurex,Lumen,BEV,58,120,2020
EV000239,Vantor,Arc,BEV,64,135,2026
EV000240,Vantor,Arc,BEV,64,135,2019
EV000241,Selva,Corta,BEV,42,85,2025
EV000242,Selva,Corta,BEV,42,85,2021
EV000243,Selva,Corta+,BEV,52,100,2020
EV000244,Selva,Corta,BEV,42,85,2024
EV000245,Aurex,Lumen,BEV,58,120,2026
EV000246,Vantor,Arc,BEV,64,135,2024
EV000247,Selva,Corta PHV,PHEV,9,4,2026
EV000248,Aurex,Lumen,BEV,58,120,2023
EV000249,Marden,Ridge,BEV,82,175,2026
EV000250,Selva,Corta,BEV,42,85,2022
EV000251,Marden,Ridge,BEV,82,175,2024
EV000252,Vantor,Arc GT,BEV,91,220,2020
EV000253,Vantor,Arc GT,BEV,91,220,2024
EV000254,Selva,Corta,BEV,42,85,2019
EV000255,Vantor,Arc PHV,PHEV,11,7,2021
EV000256,Vantor,Arc GT,BEV,91,220,2020
EV000257,Aurex,Lumen,BEV,58,120,2019
EV000258,Aurex,Lumen,BEV,58,120,2026
EV000259,Aurex,Lumen PHV,PHEV,14,7,2020
EV000260,Vantor,Arc,BEV,64,135,2025
EV000261,Aurex,Lumen LR,BEV,77,150,2024
EV000262,Selva,Corta+,BEV,52,100,2023
EV000263,Marden,Ridge XL,BEV,105,250,2026
EV000264,Selva,Corta+,BEV,52,100,2023
EV000265,Aurex,Lumen LR,BEV,77,150,2026
EV000266,Vantor,Arc GT,BEV,91,220,2024
EV000267,Vantor,Arc,BEV,64,135,2019
EV000268,Aurex,Lumen,BEV,58,120,2025
EV000269,Selva,Corta PHV,PHEV,9,4,2023
EV000270,Selva,Corta,BEV,42,85,2020
EV000271,Aurex,Lumen LR,BEV,77,150,2019
EV000272,Aurex,Lumen PHV,PHEV,14,7,2025
EV000273,Marden,Ridge PHV,PHEV,18,7,2024
EV000274,Marden,Ridge XL,BEV,105,250,2024
EV000275,Vantor,Arc,BEV,64,135,2022
EV000276,Aurex,Lumen LR,BEV,77,150,2021
EV000277,Selva,Corta,BEV,42,85,2023
EV000278,Selva,Corta+,BEV,52,100,2021
EV000279,Aurex,Lumen PHV,PHEV,14,7,2024
EV000280,Selva,Corta PHV,PHEV,9,4,2020
EV000281,Vantor,Arc PHV,PHEV,11,7,2025
EV000282,Vantor,Arc GT,BEV,91,220,2023
EV000283,Selva,Corta+,BEV,52,100,2020
EV000284,Aurex,Lumen LR,BEV,77,150,2026
EV000285,Selva,Corta,BEV,42,85,2023
EV000286,Aurex,Lumen,BEV,58,120,2025
EV000287,Aurex,Lumen LR,BEV,77,150,2025
EV000288,Aurex,Lumen LR,BEV,77,150,2020
EV000289,Vantor,Arc,BEV,64,135,2023
EV000290,Vantor,Arc,BEV,64,135,2019
EV000291,Marden,Ridge,BEV,82,175,2023
EV000292,Aurex,Lumen,BEV,58,120,2021
EV000293,Aurex,Lumen LR,BEV,77,150,2025
EV000294,Marden,Ridge,BEV,82,175,2020
EV000295,Marden,Ridge,BEV,82,175,2023
EV000296,Marden,Ridge,BEV,82,175,2020
EV000297,Marden,Ridge,BEV,82,175,2026
EV000298,Marden,Ridge,BEV,82,175,2024
EV000299,Selva,Corta+,BEV,52,100,2023
EV000300,Marden,Ridge,BEV,82,175,2021
EV000301,Aurex,Lumen,BEV,58,120,2020
EV000302,Aurex,Lumen LR,BEV,77,150,2023
EV000303,Marden,Ridge,BEV,82,175,2019
EV000304,Aurex,Lumen LR,BEV,77,150,2021
EV000305,Selva,Corta,BEV,42,85,2019
EV000306,Vantor,Arc,BEV,64,135,2026
EV000307,Vantor,Arc GT,BEV,91,220,2024
EV000308,Marden,Ridge XL,BEV,105,250,2023
EV000309,Marden,Ridge,BEV,82,175,2024
EV000310,Selva,Corta,BEV,42,85,2020
EV000311,Vantor,Arc,BEV,64,135,2025
EV000312,Marden,Ridge XL,BEV,105,250,2025
EV000313,Marden,Ridge,BEV,82,175,2024
EV000314,Selva,Corta,BEV,42,85,2021
EV000315,Marden,Ridge XL,BEV,105,250,2021
EV000316,Marden,Ridge,BEV,82,175,2022
EV000317,Marden,Ridge PHV,PHEV,18,7,2026
EV000318,Marden,Ridge,BEV,82,175,2021
EV000319,Aurex,Lumen PHV,PHEV,14,7,2025
EV000320,Selva,Corta+,BEV,52,100,2022
EV000321,Marden,Ridge,BEV,82,175,2025
EV000322,Marden,Ridge XL,BEV,105,250,2021
EV000323,Aurex,Lumen,BEV,58,120,2021
EV000324,Selva,Corta,BEV,42,85,2021
EV000325,Selva,Corta+,BEV,52,100,2021
EV000326,Aurex,Lumen,BEV,58,120,2020
EV000327,Marden,Ridge XL,BEV,105,250,2021
EV000328,Marden,Ridge,BEV,82,175,2026
EV000329,Selva,Corta PHV,PHEV,9,4,2019
EV000330,Vantor,Arc GT,BEV,91,220,2020
EV000331,Selva,Corta,BEV,42,85,2021
EV000332,Vantor,Arc PHV,PHEV,11,7,2021
EV000333,Vantor,Arc GT,BEV,91,220,2025
EV000334,Marden,Ridge XL,BEV,105,250,2022
EV000335,Vantor,Arc GT,BEV,91,220,2025
EV000336,Vantor,Arc GT,BEV,91,220,2019
EV000337,Vantor,Arc,BEV,64,135,2024
EV000338,Aurex,Lumen LR,BEV,77,150,2020
EV000339,Vantor,Arc GT,BEV,91,220,2026
EV000340,Aurex,Lumen LR,BEV,77,150,2022
EV000341,Marden,Ridge XL,BEV,105,250,2024
EV000342,Marden,Ridge PHV,PHEV,18,7,2023
EV000343,Aurex,Lumen,BEV,58,120,2021
EV000344,Aurex,Lumen,BEV,58,120,2023
EV000345,Aurex,Lumen,BEV,58,120,2024
EV000346,Vantor,Arc PHV,PHEV,11,7,2021
EV000347,Aurex,Lumen,BEV,58,120,2024
EV000348,Marden,Ridge,BEV,82,175,2024
EV000349,Vantor,Arc,BEV,64,135,2025
EV000350,Aurex,Lumen LR,BEV,77,150,2024
EV000351,Vantor,Arc,BEV,64,135,2022
EV000352,Marden,Ridge,BEV,82,175,2021
EV000353,Aurex,Lumen,BEV,58,120,2022
EV000354,Marden,Ridge XL,BEV,105,250,2020
EV000355,Selva,Corta+,BEV,52,100,2020
EV000356,Vantor,Arc,BEV,64,135,2024
EV000357,Aurex,Lumen LR,BEV,77,150,2025
EV000358,Marden,Ridge,BEV,82,175,2022
EV000359,Selva,Corta+,BEV,52,100,2025
EV000360,Vantor,Arc,BEV,64,135,2025
EV000361,Vantor,Arc GT,BEV,91,220,2019
EV000362,Selva,Corta,BEV,42,85,2019
EV000363,Vantor,Arc PHV,PHEV,11,7,2026
EV000364,Selva,Corta,BEV,42,85,2023
EV000365,Marden,Ridge XL,BEV,105,250,2022
EV000366,Selva,Corta+,BEV,52,100,2021
EV000367,Selva,Corta+,BEV,52,100,2020
EV000368,Selva,Corta,BEV,42,85,2020
EV000369,Marden,Ridge,BEV,82,175,2023
EV000370,Selva,Corta,BEV,42,85,2025
EV000371,Marden,Ridge,BEV,82,175,2021
EV000372,Aurex,Lumen LR,BEV,77,150,2020
EV000373,Vantor,Arc,BEV,64,135,2021
EV000374,Aurex,Lumen PHV,PHEV,14,7,2025
EV000375,Vantor,Arc GT,BEV,91,220,2025
EV000376,Marden,Ridge XL,BEV,105,250,2025
EV000377,Selva,Corta PHV,PHEV,9,4,2023
EV000378,Selva,Corta+,BEV,52,100,2026
EV000379,Aurex,Lumen,BEV,58,120,2023
EV000380,Marden,Ridge,BEV,82,175,2019
EV000381,Marden,Ridge,BEV,82,175,2023
EV000382,Vantor,Arc,BEV,64,135,2020
EV000383,Marden,Ridge XL,BEV,105,250,2026
EV000384,Selva,Corta,BEV,42,85,2019
EV000385,Aurex,Lumen,BEV,58,120,2024
EV000386,Aurex,Lumen,BEV,58,120,2021
EV000387,Vantor,Arc,BEV,64,135,2020
EV000388,Selva,Corta+,BEV,52,100,2026
EV000389,Marden,Ridge XL,BEV,105,250,2023
EV000390,Aurex,Lumen,BEV,58,120,2024
EV000391,Aurex,Lumen,BEV,58,120,2025
EV000392,Selva,Corta+,BEV,52,100,2020
EV000393,Vantor,Arc GT,BEV,91,220,2026
EV000394,Selva,Corta,BEV,42,85,2019
EV000395,Marden,Ridge XL,BEV,105,250,2019
EV000396,Vantor,Arc PHV,PHEV,11,7,2024
EV000397,Selva,Corta PHV,PHEV,9,4,2019
EV000398,Marden,Ridge XL,BEV,105,250,2023
EV000399,Aurex,Lumen,BEV,58,120,2025
EV000400,Aurex,Lumen LR,BEV,77,150,2019
EV000401,Selva,Corta+,BEV,52,100,2020
EV000402,Selva,Corta PHV,PHEV,9,4,2023
EV000403,Aurex,Lumen,BEV,58,120,2022
EV000404,Selva,Corta,BEV,42,85,2020
EV000405,Vantor,Arc GT,BEV,91,220,2024
EV000406,Vantor,Arc GT,BEV,91,220,2021
EV000407,Vantor,Arc,BEV,64,135,2023
EV000408,Vantor,Arc,BEV,64,135,2019
EV000409,Vantor,Arc,BEV,64,135,2023
EV000410,Aurex,Lumen,BEV,58,120,2026
EV000411,Selva,Corta+,BEV,52,100,2020
EV000412,Selva,Corta,BEV,42,85,2022
EV000413,Marden,Ridge,BEV,82,175,2020
EV000414,Selva,Corta+,BEV,52,100,2023
EV000415,Selva,Corta PHV,PHEV,9,4,2022
EV000416,Vantor,Arc GT,BEV,91,220,2020
EV000417,Aurex,Lumen PHV,PHEV,14,7,2021
EV000418,Vantor,Arc GT,BEV,91,220,2022
EV000419,Marden,Ridge,BEV,82,175,2019
EV000420,Marden,Ridge XL,BEV,105,250,2024
EV000421,Vantor,Arc GT,BEV,91,220,2021
EV000422,Selva,Corta,BEV,42,85,2024
EV000423,Selva,Corta+,BEV,52,100,2026
EV000424,Aurex,Lumen LR,BEV,77,150,2026
EV000425,Selva,Corta,BEV,42,85,2022
EV000426,Aurex,Lumen,BEV,58,120,2020
EV000427,Vantor,Arc,BEV,64,135,2022
EV000428,Selva,Corta+,BEV,52,100,2020
EV000429,Marden,Ridge PHV,PHEV,18,7,2025
EV000430,Marden,Ridge PHV,PHEV,18,7,2022
EV000431,Vantor,Arc,BEV,64,135,2025
EV000432,Aurex,Lumen LR,BEV,77,150,2021
EV000433,Selva,Corta,BEV,42,85,2020
EV000434,Selva,Corta,BEV,42,85,2025
EV000435,Vantor,Arc GT,BEV,91,220,2020
EV000436,Marden,Ridge XL,BEV,105,250,2021
EV000437,Marden,Ridge,BEV,82,175,2025
EV000438,Selva,Corta+,BEV,52,100,2021
EV000439,Selva,Corta+,BEV,52,100,2025
EV000440,Selva,Corta+,BEV,52,100,2023
EV000441,Marden,Ridge,BEV,82,175,2020
EV000442,Vantor,Arc PHV,PHEV,11,7,2023
EV000443,Selva,Corta PHV,PHEV,9,4,2020
EV000444,Marden,Ridge PHV,PHEV,18,7,2021
EV000445,Marden,Ridge XL,BEV,105,250,2019
EV000446,Aurex,Lumen,BEV,58,120,2019
EV000447,Selva,Corta,BEV,42,85,2019
EV000448,Marden,Ridge XL,BEV,105,250,2024
EV000449,Vantor,Arc,BEV,64,135,2020
EV000450,Selva,Corta+,BEV,52,100,2019
EV000451,Aurex,Lumen,BEV,58,120,2020
EV000452,Aurex,Lumen LR,BEV,77,150,2025
EV000453,Vantor,Arc GT,BEV,91,220,2026
EV000454,Aurex,Lumen,BEV,58,120,2020
EV000455,Vantor,Arc GT,BEV,91,220,2023
EV000456,Vantor,Arc,BEV,64,135,2021
EV000457,Marden,Ridge XL,BEV,105,250,2020
EV000458,Vantor,Arc,BEV,64,135,2023
EV000459,Vantor,Arc GT,BEV,91,220,2025
EV000460,Marden,Ridge XL,BEV,105,250,2026
EV000461,Selva,Corta+,BEV,52,100,2019
EV000462,Aurex,Lumen,BEV,58,120,2022
EV000463,Vantor,Arc,BEV,64,135,2025
EV000464,Selva,Corta+,BEV,52,100,2022
EV000465,Aurex,Lumen LR,BEV,77,150,2020
EV000466,Vantor,Arc,BEV,64,135,2022
EV000467,Selva,Corta+,BEV,52,100,2021
EV000468,Selva,Corta,BEV,42,85,2019
EV000469,Vantor,Arc,BEV,64,135,2024
EV000470,Selva,Corta+,BEV,52,100,2021
EV000471,Selva,Corta+,BEV,52,100,2021
EV000472,Aurex,Lumen,BEV,58,120,2026
EV000473,Vantor,Arc,BEV,64,135,2023
EV000474,Vantor,Arc,BEV,64,135,2026
EV000475,Aurex,Lumen PHV,PHEV,14,7,2022
EV000476,Aurex,Lumen,BEV,58,120,2021
EV000477,Vantor,Arc GT,BEV,91,220,2025
EV000478,Aurex,Lumen LR,BEV,77,150,2026
EV000479,Marden,Ridge,BEV,82,175,2021
EV000480,Marden,Ridge XL,BEV,105,250,2019
EV000481,Aurex,Lumen,BEV,58,120,2026
EV000482,Marden,Ridge XL,BEV,105,250,2024
EV000483,Marden,Ridge,BEV,82,175,2022
EV000484,Aurex,Lumen LR,BEV,77,150,2019
EV000485,Vantor,Arc PHV,PHEV,11,7,2023
EV000486,Vantor,Arc,BEV,64,135,2022
EV000487,Marden,Ridge XL,BEV,105,250,2022
EV000488,Aurex,Lumen,BEV,58,120,2022
EV000489,Selva,Corta,BEV,42,85,2024
EV000490,Selva,Corta,BEV,42,85,2022
EV000491,Aurex,Lumen PHV,PHEV,14,7,2026
EV000492,Marden,Ridge XL,BEV,105,250,2026
EV000493,Selva,Corta+,BEV,52,100,2019
EV000494,Aurex,Lumen,BEV,58,120,2021
EV000495,Vantor,Arc GT,BEV,91,220,2026
EV000496,Vantor,Arc GT,BEV,91,220,2019
EV000497,Marden,Ridge PHV,PHEV,18,7,2021
EV000498,Marden,Ridge,BEV,82,175,2019
EV000499,Vantor,Arc GT,BEV,91,220,2022
EV000500,Vantor,Arc GT,BEV,91,220,2024
EV000501,Marden,Ridge XL,BEV,105,250,2020
EV000502,Aurex,Lumen,BEV,58,120,2020
EV000503,Marden,Ridge XL,BEV,105,250,2019
EV000504,Marden,Ridge,BEV,82,175,2019
EV000505,Selva,Corta,BEV,42,85,2025
EV000506,Marden,Ridge,BEV,82,175,2020
EV000507,Vantor,Arc GT,BEV,91,220,2019
EV000508,Aurex,Lumen LR,BEV,77,150,2026
EV000509,Vantor,Arc GT,BEV,91,220,2021
EV000510,Aurex,Lumen,BEV,58,120,2022
EV000511,Aurex,Lumen,BEV,58,120,2021
EV000512,Selva,Corta,BEV,42,85,2020
EV000513,Marden,Ridge XL,BEV,105,250,2024
EV000514,Aurex,Lumen LR,BEV,77,150,2024
EV000515,Selva,Corta,BEV,42,85,2021
EV000516,Marden,Ridge PHV,PHEV,18,7,2022
EV000517,Marden,Ridge XL,BEV,105,250,2019
EV000518,Aurex,Lumen PHV,PHEV,14,7,2023
EV000519,Marden,Ridge,BEV,82,175,2022
EV000520,Selva,Corta+,BEV,52,100,2026
EV000521,Selva,Corta+,BEV,52,100,2021
EV000522,Selva,Corta+,BEV,52,100,2024
EV000523,Selva,Corta,BEV,42,85,2021
EV000524,Vantor,Arc GT,BEV,91,220,2023
EV000525,Vantor,Arc,BEV,64,135,2021
EV000526,Aurex,Lumen,BEV,58,120,2026
EV000527,Vantor,Arc GT,BEV,91,220,2022
EV000528,Marden,Ridge XL,BEV,105,250,2023
EV000529,Selva,Corta+,BEV,52,100,2019
