ping_id,vehicle_id,ts_utc,lat,lon,speed_kmh,heading_deg,soc_pct
53,EV000001,2026-06-08T03:30:00Z,41.81525,12.35872,1.9,26.9,97.1
54,EV000001,2026-06-08T03:42:00Z,41.81524,12.35865,1.2,,97.1
55,EV000001,2026-06-08T03:54:00Z,41.81524,12.35864,0.7,23.8,97.1
56,EV000001,2026-06-08T04:06:00Z,41.80753,12.39573,75.6,224.1,95.3
57,EV000001,2026-06-08T04:18:00Z,41.89156,12.41538,1.0,65.5,95.3
58,EV000001,2026-06-08T04:30:00Z,41.89164,12.41516,1.6,59.6,95.3
59,EV000001,2026-06-08T04:42:00Z,41.90545,12.44378,31.4,340.3,94.7
60,EV000001,2026-06-08T04:54:00Z,41.88001,12.39636,47.4,302.4,93.2
61,EV000001,2026-06-08T05:06:00Z,41.87867,12.4067,114.5,265.3,91.6
62,EV000001,2026-06-08T05:18:00Z,41.92006,12.46294,2.3,170.9,91.6
63,EV000001,2026-06-08T05:30:00Z,41.92005,12.46285,0.8,160.5,91.6
64,EV000001,2026-06-08T05:42:00Z,41.92003,12.46303,2.4,163.8,91.6
65,EV000001,2026-06-08T05:54:00Z,41.92001,12.46284,0.3,158.3,91.6
66,EV000001,2026-06-08T06:06:00Z,41.92001,12.463,0.1,,91.6
67,EV000001,2026-06-08T06:18:00Z,41.9043,12.43974,49.6,345.8,89.6
68,EV000001,2026-06-08T06:30:00Z,41.93499,12.44384,65.0,302.8,88.0
69,EV000001,2026-06-08T06:42:00Z,41.92546,12.51193,109.3,251.9,87.1
70,EV000001,2026-06-08T06:54:00Z,41.89747,12.47125,0.2,181.2,87.1
71,EV000001,2026-06-08T07:06:00Z,41.8975,12.47115,0.2,172.1,87.1
72,EV000001,2026-06-08T07:18:00Z,41.89304,12.52991,99.8,66.6,86.3
73,EV000001,2026-06-08T07:30:00Z,41.86274,12.49187,29.0,118.7,84.2
74,EV000001,2026-06-08T07:42:00Z,41.8101,12.34613,2.4,,84.2
75,EV000001,2026-06-08T07:54:00Z,41.81008,12.34609,2.9,84.7,84.2
76,EV000001,2026-06-08T08:06:00Z,41.81006,12.34621,0.9,79.3,84.2
77,EV000001,2026-06-08T08:18:00Z,41.77916,12.38541,73.0,134.9,83.1
78,EV000001,2026-06-08T08:30:00Z,41.8104,12.36165,1.1,,83.1
79,EV000001,2026-06-08T08:42:00Z,41.81041,12.3614,2.9,162.6,83.1
80,EV000001,2026-06-08T08:54:00Z,41.81043,12.36167,1.9,157.5,83.1
81,EV000001,2026-06-08T09:06:00Z,41.81037,12.36163,1.9,,83.1
82,EV000001,2026-06-08T09:18:00Z,41.81037,12.36152,0.3,150.0,83.1
83,EV000001,2026-06-08T09:30:00Z,41.81043,12.36154,1.0,155.4,83.1
84,EV000001,2026-06-08T09:42:00Z,41.84559,12.38349,26.1,177.1,81.9
85,EV000001,2026-06-08T09:54:00Z,41.75544,12.35797,101.2,293.6,81.3
86,EV000002,2026-06-08T01:36:00Z,47.5526,19.02226,3.0,314.6,56.6
87,EV000002,2026-06-08T01:48:00Z,47.55248,19.02233,0.7,,56.6
88,EV000002,2026-06-08T02:00:00Z,47.55238,19.0223,2.5,,56.6
89,EV000002,2026-06-08T02:12:00Z,47.5525,19.0223,1.2,,56.6
90,EV000002,2026-06-08T02:24:00Z,47.55257,19.02212,2.7,320.2,56.6
91,EV000002,2026-06-08T02:36:00Z,47.54223,19.00702,54.6,155.9,55.6
92,EV000002,2026-06-08T02:48:00Z,47.56478,18.96385,57.0,211.0,55.1
93,EV000002,2026-06-08T03:00:00Z,47.5401,19.04465,96.1,270.1,53.8
94,EV000002,2026-06-08T03:12:00Z,47.55911,19.02018,0.2,,53.8
95,EV000002,2026-06-08T03:24:00Z,47.55902,19.02012,0.0,40.0,53.8
96,EV000002,2026-06-08T03:36:00Z,47.50635,19.04091,53.6,269.4,52.9
97,EV000002,2026-06-08T03:48:00Z,47.55073,19.01736,0.2,138.7,52.9
98,EV000002,2026-06-08T04:00:00Z,47.55067,19.01733,0.3,139.3,52.9
99,EV000002,2026-06-08T04:12:00Z,47.5507,19.01738,1.0,138.0,52.9
100,EV000002,2026-06-08T04:24:00Z,47.55073,19.01723,1.0,144.2,52.9
101,EV000002,2026-06-08T04:36:00Z,47.55071,19.01737,2.7,138.5,52.9
102,EV000002,2026-06-08T04:48:00Z,47.56064,18.97939,59.0,318.3,50.7
103,EV000002,2026-06-08T05:00:00Z,47.5563,19.01691,0.5,323.3,50.7
104,EV000002,2026-06-08T05:12:00Z,47.55623,19.01682,0.5,328.6,50.7
105,EV000002,2026-06-08T05:24:00Z,47.55624,19.01685,2.1,319.5,50.7
106,EV000002,2026-06-08T05:36:00Z,47.58859,19.05092,99.8,38.8,48.7
107,EV000002,2026-06-08T05:48:00Z,47.57972,19.0644,106.5,80.7,47.5
108,EV000002,2026-06-08T06:00:00Z,47.57352,19.07224,36.8,159.8,46.9
109,EV000002,2026-06-08T06:12:00Z,47.48978,19.13539,2.6,,46.9
110,EV000002,2026-06-08T06:24:00Z,47.48977,19.1353,0.8,180.3,46.9
111,EV000002,2026-06-08T06:36:00Z,47.4899,19.13519,2.5,,46.9
112,EV000002,2026-06-08T06:48:00Z,47.48969,19.13556,0.3,181.8,46.9
113,EV000002,2026-06-08T07:00:00Z,47.47531,19.18465,103.9,350.2,46.2
114,EV000002,2026-06-08T07:12:00Z,47.49888,19.10867,105.8,31.7,44.7
115,EV000002,2026-06-08T07:24:00Z,47.39433,19.09256,0.7,325.7,44.7
116,EV000002,2026-06-08T07:36:00Z,47.39425,19.09229,0.8,,44.7
117,EV000002,2026-06-08T07:48:00Z,47.39435,19.09262,2.7,315.0,44.7
118,EV000002,2026-06-08T08:00:00Z,47.39429,19.09254,2.9,315.1,44.7
119,EV000002,2026-06-08T08:12:00Z,47.39427,19.09254,0.8,322.2,44.7
120,EV000002,2026-06-08T08:24:00Z,47.39436,19.09249,2.3,316.2,44.7
121,EV000002,2026-06-08T08:36:00Z,47.37397,19.11359,32.0,233.3,43.1
122,EV000002,2026-06-08T08:48:00Z,47.46162,19.37728,1.9,37.1,43.1
123,EV000002,2026-06-08T09:00:00Z,47.4617,19.3772,2.2,51.2,43.1
124,EV000002,2026-06-08T09:12:00Z,47.46168,19.37728,3.0,51.7,43.1
125,EV000002,2026-06-08T09:24:00Z,47.46956,19.34906,92.0,98.1,42.4
126,EV000002,2026-06-08T09:36:00Z,47.45781,19.39324,57.4,272.3,40.6
127,EV000002,2026-06-08T09:48:00Z,47.44278,19.39758,50.8,42.9,39.8
128,EV000003,2026-06-08T01:30:00Z,47.41997,19.03299,0.1,,35.3
129,EV000003,2026-06-08T01:42:00Z,47.41999,19.03295,2.6,80.8,35.3
130,EV000003,2026-06-08T01:54:00Z,47.41997,19.03291,0.2,61.0,35.3
131,EV000003,2026-06-08T02:06:00Z,47.42008,19.03298,2.3,,35.3
132,EV000003,2026-06-08T02:18:00Z,47.42,19.03279,1.9,72.6,35.3
133,EV000003,2026-06-08T02:30:00Z,47.42005,19.033,1.2,80.3,35.3
134,EV000003,2026-06-08T02:42:00Z,47.4197,19.03288,1.5,80.6,35.3
135,EV000003,2026-06-08T02:54:00Z,47.44147,19.07307,88.2,356.4,33.7
136,EV000003,2026-06-08T03:06:00Z,47.43981,18.97038,107.8,265.6,33.2
137,EV000003,2026-06-08T03:18:00Z,47.47307,18.9863,28.8,55.9,31.1
138,EV000003,2026-06-08T03:30:00Z,47.53153,19.03555,1.7,342.2,31.1
139,EV000003,2026-06-08T03:42:00Z,47.53153,19.03555,2.0,,31.1
140,EV000003,2026-06-08T03:54:00Z,47.53145,19.03557,1.2,338.6,31.1
141,EV000003,2026-06-08T04:06:00Z,47.53146,19.03539,0.5,330.6,31.1
142,EV000003,2026-06-08T04:18:00Z,47.51954,19.03157,66.6,303.5,29.4
143,EV000003,2026-06-08T04:30:00Z,47.45298,19.01797,0.5,,29.4
144,EV000003,2026-06-08T04:42:00Z,47.45293,19.0178,2.9,210.8,29.4
145,EV000003,2026-06-08T04:54:00Z,47.45294,19.01783,0.9,213.8,29.4
146,EV000003,2026-06-08T05:06:00Z,47.453,19.01764,0.3,201.6,29.4
147,EV000003,2026-06-08T05:18:00Z,47.4529,19.01781,3.0,,29.4
148,EV000003,2026-06-08T05:30:00Z,47.45283,19.01792,0.6,215.1,29.4
149,EV000003,2026-06-08T05:42:00Z,47.49132,19.08667,109.6,72.1,28.1
150,EV000003,2026-06-08T05:54:00Z,47.3869,19.21663,0.4,102.9,28.1
151,EV000003,2026-06-08T06:06:00Z,47.38715,19.21642,2.0,91.0,28.1
152,EV000003,2026-06-08T06:18:00Z,47.38705,19.21654,2.7,91.5,28.1
153,EV000003,2026-06-08T06:30:00Z,47.38704,19.21655,0.4,,28.1
154,EV000003,2026-06-08T06:42:00Z,47.38697,19.21653,0.3,91.2,28.1
155,EV000003,2026-06-08T06:54:00Z,47.38698,19.21665,2.8,91.7,28.1
156,EV000003,2026-06-08T07:06:00Z,47.39277,19.21106,56.1,259.9,27.7
157,EV000003,2026-06-08T07:18:00Z,47.40436,19.18299,74.8,344.1,26.6
158,EV000003,2026-06-08T07:30:00Z,47.35557,19.28624,80.4,125.8,24.8
159,EV000003,2026-06-08T07:42:00Z,47.44811,19.06327,0.6,,24.8
160,EV000003,2026-06-08T07:54:00Z,47.44812,19.06339,1.1,144.5,24.8
161,EV000003,2026-06-08T08:06:00Z,47.44812,19.06327,2.7,143.5,24.8
162,EV000003,2026-06-08T08:18:00Z,47.44093,19.08908,46.5,296.7,23.6
163,EV000003,2026-06-08T08:30:00Z,47.47099,19.05989,70.3,203.5,23.0
164,EV000003,2026-06-08T08:42:00Z,47.44557,19.06207,3.0,,23.0
165,EV000003,2026-06-08T08:54:00Z,47.44564,19.06202,0.4,32.8,23.0
166,EV000003,2026-06-08T09:06:00Z,47.44557,19.06225,2.9,31.7,23.0
167,EV000003,2026-06-08T09:18:00Z,47.44553,19.06221,1.8,29.3,23.0
168,EV000003,2026-06-08T09:30:00Z,47.44556,19.06206,0.8,,23.0
169,EV000003,2026-06-08T09:42:00Z,47.44555,19.06212,1.4,19.5,23.0
170,EV000003,2026-06-08T09:54:00Z,47.46855,19.04558,72.3,216.2,22.0
171,EV000003,2026-06-08T10:06:00Z,47.44536,19.06223,1.3,,30.7
172,EV000003,2026-06-08T10:18:00Z,47.44519,19.06236,2.0,34.8,39.4
173,EV000003,2026-06-08T10:30:00Z,47.44515,19.0623,0.7,35.3,48.1
174,EV000003,2026-06-08T10:42:00Z,47.43327,19.02584,102.4,185.9,47.2
175,EV000004,2026-06-08T02:04:00Z,37.96474,23.7516,1.1,,62.9
176,EV000004,2026-06-08T02:16:00Z,37.96472,23.75152,2.0,327.7,62.9
177,EV000004,2026-06-08T02:28:00Z,37.96476,23.75159,2.2,339.9,62.9
178,EV000004,2026-06-08T02:40:00Z,37.9647,23.75163,0.8,334.0,62.9
179,EV000004,2026-06-08T02:52:00Z,37.96478,23.75158,0.9,,62.9
180,EV000004,2026-06-08T03:04:00Z,37.96483,23.75151,2.6,340.9,62.9
181,EV000004,2026-06-08T03:16:00Z,37.96474,23.75156,2.7,324.7,62.9
182,EV000004,2026-06-08T03:28:00Z,37.96558,23.7357,99.4,244.9,60.9
183,EV000004,2026-06-08T03:40:00Z,38.01519,23.72316,53.1,4.4,59.9
184,EV000004,2026-06-08T03:52:00Z,37.95939,23.71732,54.7,117.4,58.5
185,EV000004,2026-06-08T04:04:00Z,37.91455,23.57107,0.2,,68.9
186,EV000004,2026-06-08T04:16:00Z,37.91446,23.57102,2.8,,79.3
187,EV000004,2026-06-08T04:28:00Z,37.91456,23.57108,0.8,270.8,89.6
188,EV000004,2026-06-08T04:40:00Z,37.91453,23.57106,0.2,269.2,100.0
189,EV000004,2026-06-08T04:52:00Z,37.95503,23.56397,100.7,16.0,98.9
190,EV000004,2026-06-08T05:04:00Z,37.92852,23.58914,46.6,187.7,97.8
191,EV000004,2026-06-08T05:16:00Z,37.94993,23.86341,1.6,170.2,97.8
192,EV000004,2026-06-08T05:28:00Z,37.94992,23.86345,2.0,175.6,97.8
193,EV000004,2026-06-08T05:40:00Z,37.95524,23.85334,97.9,116.6,97.1
194,EV000004,2026-06-08T05:52:00Z,37.97757,23.86821,25.3,66.6,94.9
195,EV000004,2026-06-08T06:04:00Z,37.86183,23.90608,109.9,38.5,93.9
196,EV000004,2026-06-08T06:16:00Z,37.96657,23.75987,1.4,292.7,96.9
197,EV000004,2026-06-08T06:28:00Z,37.9665,23.75989,0.5,294.7,100.0
198,EV000004,2026-06-08T06:40:00Z,38.00155,23.72231,82.8,299.5,99.4
199,EV000004,2026-06-08T06:52:00Z,37.95137,23.80488,107.8,185.8,98.6
200,EV000004,2026-06-08T07:04:00Z,38.00014,23.75722,2.7,,98.6
201,EV000004,2026-06-08T07:16:00Z,38.00014,23.7573,0.8,260.1,98.6
202,EV000004,2026-06-08T07:28:00Z,38.00002,23.75728,1.1,254.5,98.6
203,EV000004,2026-06-08T07:40:00Z,38.05195,23.8155,95.3,109.3,97.9
204,EV000004,2026-06-08T07:52:00Z,37.95429,23.89772,2.7,205.5,97.9
205,EV000004,2026-06-08T08:04:00Z,37.95424,23.89771,2.9,,97.9
206,EV000004,2026-06-08T08:16:00Z,37.95436,23.89763,2.4,213.5,97.9
207,EV000004,2026-06-08T08:28:00Z,37.95422,23.89765,0.7,209.2,97.9
208,EV000004,2026-06-08T08:40:00Z,37.95422,23.89767,2.7,213.3,97.9
209,EV000004,2026-06-08T08:52:00Z,37.98018,23.86325,64.3,129.0,97.4
210,EV000004,2026-06-08T09:04:00Z,37.95,23.89808,82.4,351.8,96.5
211,EV000005,2026-06-08T03:10:00Z,48.90052,2.36331,1.7,307.2,51.9
212,EV000005,2026-06-08T03:22:00Z,48.90051,2.3633,0.3,,51.9
213,EV000005,2026-06-08T03:34:00Z,48.90043,2.36325,2.9,312.5,51.9
214,EV000005,2026-06-08T03:46:00Z,48.90044,2.36323,0.8,,51.9
215,EV000005,2026-06-08T03:58:00Z,48.90048,2.36353,1.5,,51.9
216,EV000005,2026-06-08T04:10:00Z,48.9005,2.36315,0.5,310.2,51.9
217,EV000005,2026-06-08T04:22:00Z,48.90051,2.36333,2.8,314.3,51.9
218,EV000005,2026-06-08T04:34:00Z,48.89217,2.34087,77.4,282.6,50.4
219,EV000005,2026-06-08T04:46:00Z,48.89683,2.36618,1.3,91.5,50.4
220,EV000005,2026-06-08T04:58:00Z,48.89688,2.36618,0.8,,50.4
221,EV000005,2026-06-08T05:10:00Z,48.89675,2.36623,0.7,,50.4
222,EV000005,2026-06-08T05:22:00Z,48.89679,2.36629,1.8,76.8,50.4
223,EV000005,2026-06-08T05:34:00Z,48.89678,2.36629,2.7,79.7,50.4
224,EV000005,2026-06-08T05:46:00Z,48.86218,2.38831,65.2,327.0,49.1
225,EV000005,2026-06-08T05:58:00Z,48.91573,2.27768,1.7,,49.1
226,EV000005,2026-06-08T06:10:00Z,48.91566,2.27755,1.7,15.8,49.1
227,EV000005,2026-06-08T06:22:00Z,48.91578,2.27747,1.0,,49.1
228,EV000005,2026-06-08T06:34:00Z,48.9157,2.27753,2.7,34.3,49.1
229,EV000005,2026-06-08T06:46:00Z,48.91559,2.27754,2.8,29.5,49.1
230,EV000005,2026-06-08T06:58:00Z,48.91568,2.27752,2.8,,49.1
231,EV000005,2026-06-08T07:10:00Z,48.91884,2.23267,87.2,121.1,47.8
232,EV000005,2026-06-08T07:22:00Z,48.91541,2.27586,72.2,220.2,46.3
233,EV000005,2026-06-08T07:34:00Z,48.89962,2.17749,76.1,42.5,44.6
234,EV000005,2026-06-08T07:46:00Z,48.87579,2.40813,2.6,,44.6
235,EV000005,2026-06-08T07:58:00Z,48.87581,2.40825,2.1,329.8,44.6
236,EV000005,2026-06-08T08:10:00Z,48.87991,2.39017,32.9,21.1,43.7
237,EV000005,2026-06-08T08:22:00Z,48.85727,2.43193,52.6,143.1,42.5
238,EV000005,2026-06-08T08:34:00Z,48.93619,2.29006,1.8,,50.0
239,EV000005,2026-06-08T08:46:00Z,48.93622,2.29012,0.5,167.0,57.5
240,EV000005,2026-06-08T08:58:00Z,48.93007,2.25303,74.4,69.4,55.7
241,EV000005,2026-06-08T09:10:00Z,48.89337,2.35297,1.0,323.4,55.7
242,EV000005,2026-06-08T09:22:00Z,48.8933,2.35305,2.8,324.9,55.7
243,EV000005,2026-06-08T09:34:00Z,48.89329,2.35307,1.0,325.3,55.7
244,EV000005,2026-06-08T09:46:00Z,48.89338,2.35308,0.2,339.6,55.7
245,EV000005,2026-06-08T09:58:00Z,48.83851,2.3578,71.4,357.6,54.0
246,EV000006,2026-06-08T02:11:00Z,53.56228,10.04982,0.3,280.2,79.0
247,EV000006,2026-06-08T02:23:00Z,53.56227,10.0498,1.2,284.8,79.0
248,EV000006,2026-06-08T02:35:00Z,53.56231,10.05001,0.3,283.9,79.0
249,EV000006,2026-06-08T02:47:00Z,53.5623,10.04983,0.7,288.1,79.0
250,EV000006,2026-06-08T02:59:00Z,53.56227,10.04981,0.6,283.6,79.0
251,EV000006,2026-06-08T03:11:00Z,53.56222,10.0498,1.5,282.7,79.0
252,EV000006,2026-06-08T03:23:00Z,53.56231,10.04985,1.2,288.7,79.0
253,EV000006,2026-06-08T03:35:00Z,53.56574,10.0985,110.6,280.9,78.1
254,EV000006,2026-06-08T03:47:00Z,53.58209,10.0468,36.1,267.3,77.6
255,EV000006,2026-06-08T03:59:00Z,53.57273,10.06996,86.5,221.9,76.5
256,EV000006,2026-06-08T04:11:00Z,53.57608,9.99996,2.6,204.4,88.2
257,EV000006,2026-06-08T04:23:00Z,53.57612,10.00018,2.3,207.0,100.0
258,EV000006,2026-06-08T04:35:00Z,53.61061,9.98169,33.6,149.1,99.6
259,EV000006,2026-06-08T04:47:00Z,53.56451,9.9772,48.3,251.0,97.9
260,EV000006,2026-06-08T04:59:00Z,53.43873,9.96828,2.7,106.1,99.0
261,EV000006,2026-06-08T05:11:00Z,53.43883,9.96811,0.3,109.2,100.0
262,EV000006,2026-06-08T05:23:00Z,53.44339,9.93006,35.1,111.9,98.8
263,EV000006,2026-06-08T05:35:00Z,53.49823,10.0208,48.0,82.5,96.7
264,EV000006,2026-06-08T05:47:00Z,53.47153,10.00719,60.4,19.7,95.7
265,EV000006,2026-06-08T05:59:00Z,53.54751,9.9321,0.4,224.7,95.7
266,EV000006,2026-06-08T06:11:00Z,53.5474,9.93235,0.5,235.5,95.7
267,EV000006,2026-06-08T06:23:00Z,53.54743,9.93204,1.0,234.3,95.7
268,EV000006,2026-06-08T06:35:00Z,53.54739,9.93217,1.6,,95.7
269,EV000006,2026-06-08T06:47:00Z,53.54737,9.93221,1.8,231.7,95.7
270,EV000006,2026-06-08T06:59:00Z,53.54737,9.932,1.6,240.4,95.7
271,EV000006,2026-06-08T07:11:00Z,53.56735,9.92739,32.9,129.2,94.2
272,EV000006,2026-06-08T07:23:00Z,53.58663,9.95817,2.3,43.1,94.2
273,EV000006,2026-06-08T07:35:00Z,53.58658,9.95797,2.6,47.2,94.2
274,EV000006,2026-06-08T07:47:00Z,53.62455,9.99717,91.6,226.0,93.1
275,EV000006,2026-06-08T07:59:00Z,53.58726,10.00938,76.5,91.6,91.3
276,EV000006,2026-06-08T08:11:00Z,53.55689,10.04442,2.0,252.4,91.3
277,EV000006,2026-06-08T08:23:00Z,53.55681,10.0444,0.7,256.0,91.3
278,EV000006,2026-06-08T08:35:00Z,53.55681,10.04443,1.2,238.6,91.3
279,EV000006,2026-06-08T08:47:00Z,53.55685,10.04427,0.5,243.1,91.3
280,EV000006,2026-06-08T08:59:00Z,53.53361,10.00862,29.8,9.5,90.1
281,EV000007,2026-06-08T00:59:00Z,40.4398,-3.73105,2.5,134.5,81.5
282,EV000007,2026-06-08T01:11:00Z,40.43983,-3.73115,1.3,138.8,81.5
283,EV000007,2026-06-08T01:23:00Z,40.46693,-3.74558,46.5,212.0,80.5
284,EV000007,2026-06-08T01:35:00Z,40.41716,-3.72139,42.2,57.3,78.7
285,EV000007,2026-06-08T01:47:00Z,40.47739,-3.76568,84.7,230.4,77.9
286,EV000007,2026-06-08T01:59:00Z,40.40541,-3.73943,2.6,,77.9
287,EV000007,2026-06-08T02:11:00Z,40.40538,-3.73955,0.1,226.3,77.9
288,EV000007,2026-06-08T02:23:00Z,40.40537,-3.73951,0.6,,77.9
289,EV000007,2026-06-08T02:35:00Z,40.40535,-3.73953,0.6,224.6,77.9
290,EV000007,2026-06-08T02:47:00Z,40.40537,-3.73949,2.8,220.9,77.9
291,EV000007,2026-06-08T02:59:00Z,40.40538,-3.73952,2.2,222.8,77.9
292,EV000007,2026-06-08T03:11:00Z,40.40539,-3.73954,1.0,,77.9
293,EV000007,2026-06-08T03:23:00Z,40.38023,-3.76531,35.4,289.7,77.0
294,EV000007,2026-06-08T03:35:00Z,40.38252,-3.71133,72.3,319.2,76.0
295,EV000007,2026-06-08T03:47:00Z,40.41431,-3.75115,1.6,238.4,88.0
296,EV000007,2026-06-08T03:59:00Z,40.41424,-3.75114,0.4,245.0,100.0
297,EV000007,2026-06-08T04:11:00Z,40.44146,-3.77125,104.0,204.5,98.7
298,EV000007,2026-06-08T04:23:00Z,40.42968,-3.76021,75.4,217.5,98.3
299,EV000007,2026-06-08T04:35:00Z,40.4046,-3.74092,0.5,192.2,99.2
300,EV000007,2026-06-08T04:47:00Z,40.40451,-3.74099,0.4,196.8,100.0
301,EV000007,2026-06-08T04:59:00Z,40.39546,-3.72739,94.0,242.9,98.2
302,EV000007,2026-06-08T05:11:00Z,40.40525,-3.70801,72.6,166.2,97.5
303,EV000007,2026-06-08T05:23:00Z,40.37546,-3.70936,1.0,178.6,98.7
304,EV000007,2026-06-08T05:35:00Z,40.37542,-3.70934,2.8,,100.0
305,EV000007,2026-06-08T05:47:00Z,40.38557,-3.71301,46.7,277.2,99.6
306,EV000007,2026-06-08T05:59:00Z,40.33879,-3.737,92.4,49.1,99.0
307,EV000007,2026-06-08T06:11:00Z,40.41447,-3.70698,2.5,226.7,99.0
308,EV000007,2026-06-08T06:23:00Z,40.41455,-3.7071,1.1,,99.0
309,EV000007,2026-06-08T06:35:00Z,40.41461,-3.70705,1.9,231.7,99.0
310,EV000007,2026-06-08T06:47:00Z,40.41459,-3.70691,0.2,228.3,99.0
311,EV000007,2026-06-08T06:59:00Z,40.44295,-3.7002,63.8,339.5,98.1
312,EV000007,2026-06-08T07:11:00Z,40.41823,-3.67828,31.5,285.2,96.5
313,EV000007,2026-06-08T07:23:00Z,40.41435,-3.75073,2.1,311.3,98.3
314,EV000007,2026-06-08T07:35:00Z,40.41424,-3.7508,2.2,290.4,100.0
315,EV000007,2026-06-08T07:47:00Z,40.42963,-3.82538,44.4,343.8,98.3
316,EV000007,2026-06-08T07:59:00Z,40.45628,-3.76187,67.7,55.8,96.9
317,EV000007,2026-06-08T08:11:00Z,40.36566,-3.75652,69.2,188.8,95.0
318,EV000008,2026-06-08T01:00:00Z,41.89657,12.43071,2.8,48.5,73.6
