session_id,station_id,vehicle_id,start_utc,end_utc,duration_min,energy_kwh,power_kw
S000053,ABC0054,EV000199,2026-06-08T08:30:00Z,2026-06-08T08:54:00Z,24,1.25,50
S000054,ABC0054,EV000201,2026-06-08T12:52:00Z,2026-06-08T13:28:00Z,36,8.63,50
S000055,ABC0015,EV000202,2026-06-08T08:51:00Z,2026-06-08T09:15:00Z,24,5.52,150
S000056,ABC0075,EV000205,2026-06-08T06:42:00Z,2026-06-08T07:06:00Z,24,2.41,350
S000057,ABC0018,EV000209,2026-06-08T02:29:00Z,2026-06-08T03:05:00Z,36,15.41,50
S000058,ABC0010,EV000211,2026-06-08T09:30:00Z,2026-06-08T09:54:00Z,24,1.27,50
S000059,ABC0030,EV000218,2026-06-08T05:20:00Z,2026-06-08T05:44:00Z,24,1.31,150
S000060,ABC0071,EV000221,2026-06-08T01:57:00Z,2026-06-08T02:21:00Z,24,8.49,50
S000061,ABC0071,EV000221,2026-06-08T03:33:00Z,2026-06-08T03:57:00Z,24,0.9,50
S000062,ABC0078,EV000224,2026-06-08T13:30:00Z,2026-06-08T13:54:00Z,24,0.63,50
S000063,ABC0030,EV000225,2026-06-08T05:57:00Z,2026-06-08T06:21:00Z,24,0.36,150
S000064,ABC0070,EV000229,2026-06-08T10:43:00Z,2026-06-08T11:07:00Z,24,5.81,150
S000065,ABC0033,EV000231,2026-06-08T06:29:00Z,2026-06-08T06:53:00Z,24,0.61,350
S000066,ABC0079,EV000233,2026-06-08T02:14:00Z,2026-06-08T02:38:00Z,24,0.22,50
S000067,ABC0018,EV000233,2026-06-08T03:02:00Z,2026-06-08T03:26:00Z,24,0.97,50
S000068,ABC0010,EV000236,2026-06-08T12:24:00Z,2026-06-08T12:48:00Z,24,0.91,50
S000069,ABC0055,EV000238,2026-06-08T09:49:00Z,2026-06-08T10:13:00Z,24,10.72,150
S000070,ABC0032,EV000239,2026-06-08T12:06:00Z,2026-06-08T12:30:00Z,24,2.08,50
S000071,ABC0062,EV000243,2026-06-08T05:49:00Z,2026-06-08T06:13:00Z,24,4.39,150
S000072,ABC0022,EV000244,2026-06-08T02:22:00Z,2026-06-08T02:46:00Z,24,10.2,150
S000073,ABC0022,EV000244,2026-06-08T11:34:00Z,2026-06-08T11:58:00Z,24,4.93,150
S000074,ABC0036,EV000246,2026-06-08T09:27:00Z,2026-06-08T10:03:00Z,36,15.4,50
S000075,ABC0034,EV000247,2026-06-08T04:29:00Z,2026-06-08T05:05:00Z,36,8.85,150
S000076,ABC0034,EV000252,2026-06-08T06:29:00Z,2026-06-08T06:53:00Z,24,4.72,150
S000077,ABC0057,EV000255,2026-06-08T09:23:00Z,2026-06-08T09:47:00Z,24,2.54,50
S000078,ABC0047,EV000258,2026-06-08T05:30:00Z,2026-06-08T05:54:00Z,24,8.4,150
S000079,ABC0039,EV000263,2026-06-08T07:27:00Z,2026-06-08T07:51:00Z,24,2.82,150
S000080,ABC0075,EV000265,2026-06-08T05:36:00Z,2026-06-08T06:00:00Z,24,3.48,350
S000081,ABC0042,EV000269,2026-06-08T06:37:00Z,2026-06-08T07:13:00Z,36,10.87,50
S000082,ABC0039,EV000270,2026-06-08T10:25:00Z,2026-06-08T10:49:00Z,24,8.59,150
S000083,ABC0049,EV000272,2026-06-08T01:47:00Z,2026-06-08T02:11:00Z,24,4.6,350
S000084,ABC0051,EV000274,2026-06-08T12:02:00Z,2026-06-08T12:26:00Z,24,0.53,150
S000085,ABC0061,EV000278,2026-06-08T00:41:00Z,2026-06-08T01:05:00Z,24,4.94,150
S000086,ABC0034,EV000284,2026-06-08T09:44:00Z,2026-06-08T10:08:00Z,24,1.49,150
S000087,ABC0040,EV000285,2026-06-08T02:26:00Z,2026-06-08T02:50:00Z,24,11.58,50
S000088,ABC0015,EV000285,2026-06-08T08:14:00Z,2026-06-08T08:38:00Z,24,0.14,150
S000089,ABC0069,EV000287,2026-06-08T10:16:00Z,2026-06-08T10:40:00Z,24,4.19,50
S000090,ABC0069,EV000287,2026-06-08T11:04:00Z,2026-06-08T11:28:00Z,24,0.62,50
S000091,ABC0019,EV000289,2026-06-08T01:59:00Z,2026-06-08T02:23:00Z,24,5.22,50
S000092,ABC0003,EV000290,2026-06-08T03:34:00Z,2026-06-08T03:58:00Z,24,10.09,150
S000093,ABC0021,EV000290,2026-06-08T04:10:00Z,2026-06-08T04:34:00Z,24,3.95,50
S000094,ABC0051,EV000291,2026-06-08T07:04:00Z,2026-06-08T07:28:00Z,24,4.93,150
S000095,ABC0067,EV000295,2026-06-08T08:37:00Z,2026-06-08T09:01:00Z,24,11.3,150
S000096,ABC0000,EV000301,2026-06-08T07:31:00Z,2026-06-08T07:55:00Z,24,3.6,150
S000097,ABC0058,EV000308,2026-06-08T06:53:00Z,2026-06-08T07:17:00Z,24,0.45,350
S000098,ABC0001,EV000311,2026-06-08T09:41:00Z,2026-06-08T10:05:00Z,24,6.83,150
S000099,ABC0078,EV000312,2026-06-08T04:44:00Z,2026-06-08T05:20:00Z,36,8.63,50
S000100,ABC0077,EV000312,2026-06-08T13:20:00Z,2026-06-08T13:44:00Z,24,4.57,150
S000101,ABC0035,EV000313,2026-06-08T09:59:00Z,2026-06-08T10:23:00Z,24,5.25,50
S000102,ABC0021,EV000316,2026-06-08T07:15:00Z,2026-06-08T07:39:00Z,24,1.74,50
S000103,ABC0071,EV000320,2026-06-08T05:07:00Z,2026-06-08T05:31:00Z,24,5.95,50
S000104,ABC0003,EV000328,2026-06-08T04:22:00Z,2026-06-08T04:46:00Z,24,4.73,150
S000105,ABC0040,EV000329,2026-06-08T06:34:00Z,2026-06-08T06:58:00Z,24,4.18,50
S000106,ABC0033,EV000333,2026-06-08T05:32:00Z,2026-06-08T05:56:00Z,24,0.83,350
S000107,ABC0058,EV000334,2026-06-08T08:48:00Z,2026-06-08T09:12:00Z,24,12.63,350
S000108,ABC0041,EV000336,2026-06-08T07:58:00Z,2026-06-08T08:22:00Z,24,8.78,350
S000109,ABC0002,EV000337,2026-06-08T05:28:00Z,2026-06-08T05:52:00Z,24,3.91,50
S000110,ABC0041,EV000346,2026-06-08T07:48:00Z,2026-06-08T08:12:00Z,24,6.06,350
S000111,ABC0051,EV000351,2026-06-08T11:30:00Z,2026-06-08T11:54:00Z,24,1.01,150
S000112,ABC0026,EV000352,2026-06-08T09:06:00Z,2026-06-08T09:30:00Z,24,6.88,50
S000113,ABC0069,EV000353,2026-06-08T08:42:00Z,2026-06-08T09:06:00Z,24,5.43,50
S000114,ABC0073,EV000355,2026-06-08T04:39:00Z,2026-06-08T05:03:00Z,24,4.66,150
S000115,ABC0013,EV000363,2026-06-08T04:12:00Z,2026-06-08T04:36:00Z,24,5.21,50
S000116,ABC0078,EV000365,2026-06-08T15:06:00Z,2026-06-08T15:30:00Z,24,1.61,50
S000117,ABC0043,EV000375,2026-06-08T04:24:00Z,2026-06-08T04:48:00Z,24,0.75,50
S000118,ABC0041,EV000380,2026-06-08T06:12:00Z,2026-06-08T06:36:00Z,24,5.89,350
S000119,ABC0028,EV000380,2026-06-08T08:00:00Z,2026-06-08T08:24:00Z,24,4.08,150
S000120,ABC0001,EV000383,2026-06-08T06:06:00Z,2026-06-08T06:30:00Z,24,5.74,150
S000121,ABC0065,EV000387,2026-06-08T05:09:00Z,2026-06-08T05:33:00Z,24,6.55,150
S000122,ABC0070,EV000406,2026-06-08T02:37:00Z,2026-06-08T03:01:00Z,24,6.99,150
S000123,ABC0013,EV000409,2026-06-08T00:30:00Z,2026-06-08T00:54:00Z,24,2.63,50
S000124,ABC0053,EV000410,2026-06-08T10:30:00Z,2026-06-08T10:54:00Z,24,4.36,150
S000125,ABC0035,EV000413,2026-06-08T05:25:00Z,2026-06-08T05:49:00Z,24,1.33,50
S000126,ABC0023,EV000414,2026-06-08T06:48:00Z,2026-06-08T07:12:00Z,24,4.39,150
S000127,ABC0013,EV000416,2026-06-08T10:03:00Z,2026-06-08T10:27:00Z,24,3.58,50
S000128,ABC0032,EV000418,2026-06-08T04:35:00Z,2026-06-08T05:11:00Z,36,12.87,50
S000129,ABC0029,EV000427,2026-06-08T05:22:00Z,2026-06-08T05:46:00Z,24,4.35,50
S000130,ABC0024,EV000429,2026-06-08T04:45:00Z,2026-06-08T05:09:00Z,24,3.07,150
S000131,ABC0066,EV000430,2026-06-08T04:56:00Z,2026-06-08T05:20:00Z,24,2.86,50
S000132,ABC0030,EV000431,2026-06-08T05:24:00Z,2026-06-08T05:48:00Z,24,0.34,150
S000133,ABC0071,EV000433,2026-06-08T08:56:00Z,2026-06-08T09:20:00Z,24,8.6,50
S000134,ABC0079,EV000435,2026-06-08T01:57:00Z,2026-06-08T02:33:00Z,36,13.05,50
S000135,ABC0000,EV000439,2026-06-08T01:33:00Z,2026-06-08T01:57:00Z,24,6.83,150
S000136,ABC0034,EV000442,2026-06-08T04:24:00Z,2026-06-08T04:48:00Z,24,7.01,150
S000137,ABC0065,EV000444,2026-06-08T04:35:00Z,2026-06-08T05:35:00Z,60,21.6,150
S000138,ABC0063,EV000448,2026-06-08T00:16:00Z,2026-06-08T00:40:00Z,24,2.61,350
S000139,ABC0051,EV000450,2026-06-08T06:17:00Z,2026-06-08T06:41:00Z,24,12.2,150
S000140,ABC0002,EV000453,2026-06-08T10:06:00Z,2026-06-08T10:42:00Z,36,11.79,50
S000141,ABC0002,EV000453,2026-06-08T10:54:00Z,2026-06-08T11:18:00Z,24,0.19,50
S000142,ABC0056,EV000457,2026-06-08T01:52:00Z,2026-06-08T02:16:00Z,24,6.66,150
S000143,ABC0051,EV000461,2026-06-08T07:49:00Z,2026-06-08T08:13:00Z,24,2.35,150
S000144,ABC0007,EV000463,2026-06-08T05:29:00Z,2026-06-08T05:53:00Z,24,0.74,350
S000145,ABC0018,EV000471,2026-06-08T03:04:00Z,2026-06-08T03:28:00Z,24,3.37,50
S000146,ABC0015,EV000474,2026-06-08T10:15:00Z,2026-06-08T10:39:00Z,24,0.26,150
S000147,ABC0015,EV000474,2026-06-08T11:03:00Z,2026-06-08T11:27:00Z,24,0.68,150
S000148,ABC0037,EV000475,2026-06-08T05:05:00Z,2026-06-08T05:29:00Z,24,5.96,150
S000149,ABC0005,EV000477,2026-06-08T01:47:00Z,2026-06-08T02:11:00Z,24,5.56,150
S000150,ABC0051,EV000479,2026-06-08T12:25:00Z,2026-06-08T12:49:00Z,24,1.07,150
S000151,ABC0008,EV000481,2026-06-08T08:09:00Z,2026-06-08T08:33:00Z,24,7.05,50
S000152,ABC0002,EV000486,2026-06-08T02:04:00Z,2026-06-08T02:40:00Z,36,18.59,50
S000153,ABC0033,EV000487,2026-06-08T01:56:00Z,2026-06-08T02:20:00Z,24,11.62,350
S000154,ABC0044,EV000491,2026-06-08T07:50:00Z,2026-06-08T08:26:00Z,36,11.85,50
S000155,ABC0043,EV000491,2026-06-08T13:02:00Z,2026-06-08T13:38:00Z,36,9.13,50
S000156,ABC0029,EV000492,2026-06-08T02:24:00Z,2026-06-08T02:48:00Z,24,0.41,50
S000157,ABC0062,EV000496,2026-06-08T10:34:00Z,2026-06-08T10:58:00Z,24,6.69,150
S000158,ABC0053,EV000498,2026-06-08T02:12:00Z,2026-06-08T02:36:00Z,24,4.06,150
S000159,ABC0051,EV000499,2026-06-08T07:41:00Z,2026-06-08T08:05:00Z,24,8.13,150
S000160,ABC0044,EV000499,2026-06-08T09:17:00Z,2026-06-08T09:41:00Z,24,0.75,50
S000161,ABC0055,EV000510,2026-06-08T08:59:00Z,2026-06-08T09:23:00Z,24,1.26,150
S000162,ABC0058,EV000514,2026-06-08T01:54:00Z,2026-06-08T02:18:00Z,24,4.49,350
S000163,ABC0003,EV000515,2026-06-08T04:29:00Z,2026-06-08T04:53:00Z,24,8.81,150
S000164,ABC0046,EV000522,2026-06-08T08:15:00Z,2026-06-08T08:39:00Z,24,4.62,50
S000165,ABC0012,EV000522,2026-06-08T11:03:00Z,2026-06-08T11:27:00Z,24,1.18,50
S000166,ABC0044,EV000530,2026-06-08T03:56:00Z,2026-06-08T04:44:00Z,48,22.98,50
S000167,ABC0009,EV000530,2026-06-08T07:20:00Z,2026-06-08T07:44:00Z,24,5.85,50
S000168,ABC0029,EV000530,2026-06-08T08:08:00Z,2026-06-08T08:32:00Z,24,2.15,50
S000169,ABC0007,EV000538,2026-06-08T05:51:00Z,2026-06-08T06:15:00Z,24,5.49,350
S000170,ABC0067,EV000540,2026-06-08T03:06:00Z,2026-06-08T03:30:00Z,24,6.88,150
S000171,ABC0022,EV000544,2026-06-08T05:42:00Z,2026-06-08T06:06:00Z,24,6.14,150
S000172,ABC0022,EV000544,2026-06-08T10:30:00Z,2026-06-08T10:54:00Z,24,1.42,150
S000173,ABC0062,EV000546,2026-06-08T03:20:00Z,2026-06-08T03:44:00Z,24,2.05,150
S000174,ABC0063,EV000552,2026-06-08T12:08:00Z,2026-06-08T12:32:00Z,24,1.25,350
S000175,ABC0051,EV000555,2026-06-08T01:08:00Z,2026-06-08T01:32:00Z,24,3.79,150
S000176,ABC0013,EV000555,2026-06-08T07:08:00Z,2026-06-08T07:32:00Z,24,1.74,50
S000177,ABC0075,EV000560,2026-06-08T02:37:00Z,2026-06-08T03:01:00Z,24,5.25,350
S000178,ABC0075,EV000560,2026-06-08T03:25:00Z,2026-06-08T03:49:00Z,24,5.59,350
S000179,ABC0075,EV000560,2026-06-08T08:49:00Z,2026-06-08T09:13:00Z,24,3.08,350
S000180,ABC0019,EV000565,2026-06-08T09:21:00Z,2026-06-08T09:45:00Z,24,0.61,50
S000181,ABC0074,EV000567,2026-06-08T06:27:00Z,2026-06-08T06:51:00Z,24,5.05,350
S000182,ABC0033,EV000582,2026-06-08T05:58:00Z,2026-06-08T06:22:00Z,24,5.57,350
S000183,ABC0051,EV000587,2026-06-08T06:41:00Z,2026-06-08T07:05:00Z,24,1.89,150
S000184,ABC0051,EV000588,2026-06-08T06:22:00Z,2026-06-08T06:46:00Z,24,0.5,150
S000185,ABC0018,EV000589,2026-06-08T08:37:00Z,2026-06-08T09:01:00Z,24,0.67,50
S000186,ABC0027,EV000589,2026-06-08T09:25:00Z,2026-06-08T09:49:00Z,24,0.51,50
S000187,ABC0005,EV000590,2026-06-08T09:30:00Z,2026-06-08T09:54:00Z,24,5.83,150
S000188,ABC0030,EV000591,2026-06-08T01:22:00Z,2026-06-08T01:46:00Z,24,6.71,150
S000189,ABC0004,EV000591,2026-06-08T02:10:00Z,2026-06-08T02:34:00Z,24,5.2,50
S000190,ABC0029,EV000612,2026-06-08T10:44:00Z,2026-06-08T11:08:00Z,24,5.52,50
S000191,ABC0073,EV000617,2026-06-08T08:00:00Z,2026-06-08T08:24:00Z,24,0.38,150
S000192,ABC0058,EV000622,2026-06-08T00:54:00Z,2026-06-08T01:18:00Z,24,5.4,350
S000193,ABC0003,EV000626,2026-06-08T13:26:00Z,2026-06-08T13:50:00Z,24,7.14,150
S000194,ABC0009,EV000632,2026-06-08T04:23:00Z,2026-06-08T04:47:00Z,24,8.94,50
S000195,ABC0053,EV000635,2026-06-08T04:07:00Z,2026-06-08T04:31:00Z,24,4.28,150
S000196,ABC0001,EV000637,2026-06-08T02:21:00Z,2026-06-08T02:45:00Z,24,10.65,150
S000197,ABC0062,EV000637,2026-06-08T08:57:00Z,2026-06-08T09:21:00Z,24,2.88,150
S000198,ABC0027,EV000642,2026-06-08T03:19:00Z,2026-06-08T03:43:00Z,24,4.88,50
S000199,ABC0018,EV000642,2026-06-08T05:43:00Z,2026-06-08T06:07:00Z,24,1.06,50
